num,faction,commitment,ops,sr,remove,cc,ws,rp_a,rp_br,rp_ru,rp_ah,rp_ge,rp_tu,rp_in,name,event,effect
11,ap,mobilization,3,4,TRUE,,,,1,2,,,,1,皇家海军封锁,ROYAL NAVY BLOCKADE,把土耳其最大补给限度标记放置在25，每次土耳其打出RP卡记录其补员点数时扣除相应数值。当扣减为0时，土耳其无法通过RP卡再记录补员点数。(注:使用同盟国事件和其他规则获得的奖励补员点数、德国补员点数转换的土耳其补员点数不会影响该标志的移动。补员阶段时，若有土耳其补员点数未使用，则将最大补给限度标志向更高处移动等同于尚未使用的土耳其补员点数的格数)每个冬季回合战争状态结算阶段时-1VP，直到同盟国进入全面战争状态**和**柏林-君士坦丁堡的铁路第一次完成连通(铁路沿途地区全部被同盟国控制)。如果同盟国玩家在一个冬季回合使战争状态抵达全面战争(且完成铁路连通条件)，则封锁扣分先于同盟国战争状态调整进行(**意味着还是必须先扣这一分**)。。封锁效果**一旦**被同盟国玩家取消，则无法再适用，即使在以上两个条件都被满足后，柏林-君士坦丁堡铁路再次被协约国夺取并占据，也无法继续带来罚分效果。此后的游戏中，同盟国不能通过爱琴海、东地中海、波斯湾或红海运送补给或者战略调整。(这意味着被同盟国所控制的黑海、里海以外的港口不能给其部队提供补给，也无法接受海上SR)
12,ap,mobilization,4,4,TRUE,,,1,2,3,,,,2,亚历山大计划,PROJECT ALEXANDRIA,(只能在【埃及政变】后打出，不能在冬季打出)海上入侵：获得一个滩头标志，立刻将其放置在塞浦路斯旁的滩头地区。随后战略调整至多3支英国/印度/澳新步兵师至滩头标志。
13,ap,mobilization,4,4,TRUE,,1,1,2,3,,,,2,丘吉尔胜出,CHURCHILL PREVAILS,允许打出【海上入侵】事件(亚历山大计划除外)。协约国玩家派遣皇家海军舰队，开始掷骰并按照顺序**从加里波利沿达达尼尔海峡向上**开始对**土耳其海峡沿岸要塞**实施炮击。若掷骰结果**大于**该要塞火力值，则要塞被摧毁，并继续向上对下一个要塞进行炮击。**一旦其中一次失败，则终止一切以下步骤。**。若**炮击加里波利要塞成功并将其摧毁**，则皇家海军驶入马尔马拉海，协约国玩家获得以下效果:。❶此时协约国玩家**可以选择**是否炮击君士坦丁堡。如果选择炮击，则获得:。1、-1VP。2、+1圣战等级。❷在预备军格或者地中海东部任何协约国控制的港口增援2个英国精锐步兵师。视为基钦纳被丘吉尔说服，从西线战场调来精锐部队。。❸此时协约国玩家**还可以选择**继续炮击博斯普鲁斯海峡要塞。若本次炮击成功则该要塞被摧毁，本回合立即获得2点俄国补员点数。此后的每回合额外获得1点俄国补员点数，直到【地中海潜艇猎袭】打出为止。
14,ap,mobilization,4,4,TRUE,,2,1,2,3,,,,2,基钦纳,KITCHENER,(不能在【劳合乔治接管指挥权】后打出)在本回合剩余行动轮:任何俄国部队在高加索地区的进攻+1drm。获得1点英国补员点数、1点印度补员点数、1点协约国补员点数、1点俄国补员点数。从现在开始每回合可以将1点英国补员点数转化为1点俄国补员点数。
15,ap,limited,2,2,,TRUE,,,,1,,,,1,廓尔喀人,GURKHAS CC,一次英国/印度军队的进攻或者防御+1drm。
16,ap,limited,2,2,TRUE,,,,,1,,,,1,阿拉伯起义,ARAB REVOLT,(只能【劳伦斯】后，且圣战等级不大于7时打出)在汉志大区放置3个阿拉伯起义军并全部启动进行战斗。
17,ap,limited,2,2,TRUE,,,,,1,,,,1,盟军团结,ALLIED SOLIDARITY,增援:俄国2/4特别旅、意大利步兵师、希腊国防军 至任何协约国控制的港口或者巴尔干的滩头标记(或利姆诺斯岛)。。希腊国防军可以选择直接增援至中立的萨洛尼卡地区并保持不破坏希腊的中立。随后萨洛尼卡成为协约国控制的港口。。俄国2/4特别旅虽然遵循俄国部队的一般规则，无法和英国单位堆叠在一起，但是其可以从非俄国补给源(英国补给源)获得完全补给。并且在被摧毁并重建在俄国补给源或者预备军格后，俄国2/4特别旅可以通过海上战略调整再次进入协约国控制的希腊港口，无视相关的黑海-地中海海上战略调整禁止规则。
18,ap,limited,2,2,TRUE,,,,,1,,,,1,劳伦斯,LAWRENCE,(黄色事件)<当作事件打出时，正常使用此牌记录的OP点数。本回合剩余时间同盟国手牌需要持续公开>-1圣战等级。允许打出【阿拉伯起义】事件。
19,ap,limited,2,2,TRUE,,,,,1,,,,1,默里接管指挥权,MURRAY TAKES COMMAND,增援:1个澳新骑兵师，澳新帝国骆驼师。把西奈铁路标记放置在4回合后的纪录条位置。当回合标记抵达西奈铁路标记所在回合时，西奈铁路完成。一旦西奈铁路完成，接下来的游戏里，**协约国**就可以利用西奈铁路进行LCU的移动、战斗、战略调整和组合以及SCU的战略调整。(注:即使西奈铁路完成后，**同盟国**也**不能**利用该铁路进行LCU移动、战斗、战略调整和组合，这是因为一旦该铁路经过地区格被同盟国控制，英国可以选择切断输水管，继续使同盟国大规模军队的补给成为徒劳)
20,ap,limited,2,2,,TRUE,,,,1,,,,1,装甲车,ARMORED CARS CC,一次协约国对或者在非山区、非沼泽地区的攻击/防御+1drm
21,ap,limited,2,2,,TRUE,,,,1,,,,1,不留活口,NO PRISONERS CC,(在战斗的掷骰前打出)。一次攻击堆叠包含协约国阿拉伯起义部队或者同盟国部落部队的战斗中，攻击方受到的伤害+1，防御方受到的伤害-1。当你使用完这张卡后，该卡交予同盟国方并保持正面朝上，使其可以选择在一次战斗中当作战斗牌使用。以此法使用完毕的这张卡丢入弃牌堆。
22,ap,limited,4,4,TRUE,,1,1,2,3,,,,2,基钦纳入侵,KITCHENER'S INVASION,(只能在【丘吉尔胜出】后打出，不能在冬季回合打出。可以当作英国增援打出以代替入侵)。——海上入侵——。获得一个滩头标记，立即将其放置在一个滩头处。。入侵:英国第9军团、2个英国步兵师 至任何滩头标记地区。。增援:1个英国精锐步兵师，1个英国骑兵师至预备军格。
23,ap,limited,3,4,TRUE,,,,1,2,,,,1,尼古拉大公抵达第比利斯,GRAND DUKE TO TIFLIS,(只能在【秘密条约】或者【波斯攻势】后打出)。增援:1个俄国骑兵师、1个俄国步兵师、HQ:巴拉托夫 至任何里海港口。同盟国**必须**从该港口将所有占据该地的单位**向后撤出1-2格**。协约国还可以立即战略调整1个俄国骑兵师至该港口。增援:俄国北波斯军警队 至阿塞拜疆境内的空置格。增援:3个英国波斯宪兵师 至任何波斯大区内。
24,ap,limited,3,4,TRUE,,,,1,2,,,,1,塞尔维亚人重返,THE SERBS RETURN!,(只能在塞尔维亚崩溃后打出)。增援:6个塞尔维亚步兵师、1个塞尔维亚骑兵师至利姆诺斯岛屿基地、协约国控制的萨洛尼卡或者预备军格。。增援:塞尔维亚第1集团军、第2集团军、第3集团军至预备军格。
25,ap,limited,3,4,TRUE,,,,1,2,,,,1,俄国增援,RUSSIAN REINFORCEMENTS,增援:俄国高加索第5军团、俄国黑海陆战队、1个近卫步兵师。注:黑海陆战队一场游戏一次，可以实施海上两栖突袭。。与其他协约国海上入侵不同，这次行动在冬季回合也能进行。。这需要其在一个协约国控制的黑海港口被协约国玩家启动，并声明进行一次海上两栖突袭。则黑海陆战队可以立即移动至黑海沿岸任意一个同盟国控制的、没有部队占据的港口区域(包括拥有完好堡垒的博斯普鲁斯要塞和特拉布宗)。如果选择以上两个完好的堡垒地区作为目标，则在围攻阶段黑海陆战队在结算围攻掷骰时可以**被视为3个SCU**。。被围攻的港口堡垒可以被视为俄国的友好港口，为俄国部队提供补给，并可以接受俄国SCU的海上战略调整。。若黑海陆战队于这些地区战败，则和一般单位不同，如果其没有被消灭，则其可以**通过海上撤退**至任何一个被协约国控制的黑海港口，而不会因为失去撤退路径而永久移除。
26,ap,limited,3,4,TRUE,,,,1,2,,,,1,印度增援,INDIAN REINFORCEMENTS,增援:印度底格里斯军团。增援:印度第2军团 至预备军格。增援:1个步兵师
27,ap,limited,3,4,TRUE,,,,1,2,,,,1,让法国人流血,LET THE FRENCH BLEED,增援:3个英国精锐步兵师(视作从西线战场调来)至 任何协约国控制港口/滩头。+1VP
28,ap,limited,3,4,TRUE,TRUE,,,1,2,,,,1,莫德,MAUDE CC,增援:HQ:莫德，印度第15步兵师。。在战斗开始前，可以立即把莫德HQ立即移动至任一本轮参与战斗的包含有至少1个英国部队和1个印度部队的堆叠。。只在本次战斗中，若莫德所在堆叠攻击的是非VP点，则取消所有战壕效果。。(在战斗前将印度第15步兵师完成放置)
29,ap,limited,3,4,TRUE,,1,,1,2,,,,1,罗马尼亚,ROMANIA,——中立国参战——。(只有在巴尔干地区存在至少一个协约国LCU时才能打出)。罗马尼亚加入协约国，按照规则中的罗马尼亚参战条目放置同盟国和协约国单位。。立即启动1个包含罗马尼亚部队的地区进行战斗。。若此卡没有在俄国革命前打出，则+2VP并永久禁止该卡在剩余游戏时间当作事件打出。(除非单纯为了提升战争状态)
30,ap,limited,4,4,TRUE,,1,1,2,3,,,,2,加里波利入侵,GALLIPOLI INVASION,(只能在【丘吉尔胜出】后打出，不能在冬季回合打出。可以当作英国增援打出以代替入侵)。——海上入侵——。入侵:(英国第8军团)、(澳新军团)、2个法国步兵师、1个英国步兵师 至岛屿基地。。若预备军格有参与入侵的LCU所对应的SCU单位，则可以立即将本次增援的受损的LCU翻至满员面。(可以立即从地图上战略调整SCU至预备军格来达成该条件)。获得两个滩头标记。
31,ap,limited,4,4,TRUE,,1,1,2,3,,,,2,俄国冬季攻势,RUSSIAN WINTER OFFENSIVE,(只能在冬季打出)。(黄色事件)。当作事件打出时，正常使用此牌记录的OP点数。。本轮中适用以下效果:。从山地地区发起的或者向山地地区进行的俄国部队进攻无视恶劣天气修正。。所有俄国进攻+1drm。所有土耳其高加索地区的要塞火力值暂时视为0。如果俄国部队在战斗后得以挺进上述要塞地区，则可以**立即摧毁要塞，无视围攻规则。**
32,ap,limited,4,4,TRUE,,,1,2,3,,,,2,亚美尼亚起义,ARMENIAN UPRISING,(只能在【泛突厥主义】后打出)。-1VP。放置亚美尼亚起义军和3个亚美尼亚起义标志在地图上的蓝色A标记地区，亚美尼亚起义军必须和其中一个起义标志放置在一个地区格。
33,ap,limited,5,5,TRUE,,2,2,2,4,,,,3,阿斯奎斯-劳合乔治联合政府,ASQUITH/LLOYD GEORGE COALITION,增援:1个英国骑兵师。获得2点英国补员点数。在本场游戏剩余的时间内，可以在补员阶段将任何数量的英国补员点数转化为俄国补员点数。。在剩余的游戏时间内协约国MO掷骰+1drm。
34,ap,limited,5,5,TRUE,,2,2,2,4,,,,3,萨洛尼卡入侵,SALONIKA INVASION,(只能在【丘吉尔胜出】后打出，不能在冬季回合打出)可以当作英国增援打出以代替入侵)。——海上入侵——。入侵:英国第16军团、(英国第12军团)、2个法国步兵师 至 岛屿基地。增援:法国东方集团军-1至预备军格。。可以将地图上最多三支英国/印度/澳新SCU战略调整至岛屿基地。。获得1个滩头标记。
35,ap,total,2,2,TRUE,,,,,1,,,,1,英国增援,BRITISH REINFORCEMENTS,增援:邓斯特部队，英国南波斯洋枪队。英国南波斯洋枪队增援至英国控制波斯地区 or 波斯的一个大区，邓斯特部队**只能**增援至**被英国控制的巴格达。**。- **邓斯特部队可以只花费4点移动力作为代价跨越绿色连线。**
36,ap,total,2,2,TRUE,,,,,1,,,,1,印度增援,INDIAN REINFORCEMENTS,增援:印度第17步兵师、印度第18步兵师，2个骑兵师
37,ap,total,2,2,TRUE,,,,,1,,,,1,俄国增援,RUSSIAN REINFORCEMENTS,增援:3个俄国步兵师
38,ap,total,2,2,,TRUE,,,,1,,,,1,皇家空军,ROYAL FLYING CORPS CC,任何英国/印度/澳新部队的进攻/防御+1drm。此牌第一次打出后，阻止同盟国在剩余的游戏时间打出【飞行分队】
39,ap,total,2,2,TRUE,TRUE,,,,1,,,,1,坦克,TANKS CC,(只能在埃及、西奈或叙利亚/巴勒斯坦的平地或者沙漠地区使用)。一次包含英国部队的进攻+1drm。
40,ap,total,3,4,TRUE,,,,1,2,,,,1,不冻港,WARM WATER PORT,(只能在能通过陆地计算补给线至彼得罗夫斯克的俄国部队控制原本属于土耳其的爱琴海、东地中海和波斯湾港口时打出。不能在俄国革命后打出)。。如果该港口地区不为VP点，则在游戏的剩余时间视其为VP点**(同样在革命结算时算作俄国VP数的一部分)**。现在开始“上帝保佑沙皇”标记永远位于俄国VP数+2的位置。**(即使该港口随后被同盟国夺回)**
41,ap,total,3,4,TRUE,,1,,1,2,,,,1,贝尔福宣言,BALFOUR DECLARATION,(只有在协约国控制耶路撒冷、雅法、海法或者纳布卢斯时才能打出)。-1VP。
42,ap,total,3,4,TRUE,,,,1,2,,,,1,圣诞节前收复圣城,&quot;JERUSALEM BY CHRISTMAS&quot;,协约国在一个同盟国控制的**圣战城市**或者**补给点**和两个回合后的纪录条上各放置一个“圣诞节前收复圣城”标志。如果在两回合后该地区被英国/印度/澳新部队占据，则-1VP，反之+1VP。
43,ap,total,3,4,TRUE,,,,1,2,,,,1,俄国增援,RUSSIAN REINFORCEMENTS,增援:俄国高加索骑兵军团、俄国高加索第7军团 至预备军格。。增援:2个俄国近卫步兵师。
44,ap,total,3,4,,TRUE,,,1,2,,,,1,巴尔干厌战,WAR WEARY BALKANS CC,(只有在协约国在塞尔维亚或保加利亚至少控制了1个地区时打出。不能在1917年冬季前打出)。一回合一次，一次对保加利亚部队的攻击+1drm。在本次战斗及本回合的剩余时间内，包含保加利亚部队的堆叠无法取消撤退。
45,ap,total,4,4,TRUE,,1,1,2,3,,,,2,希腊,GREECE,——中立国参战——。(只有在希腊仍处于中立状态且在塞尔维亚至少存在1支英国/法国LCU时。或罗马尼亚已经加入战争且尚未崩溃时才能打出)。-1VP(获得中立地区格雅典的VP)。希腊加入协约国。
46,ap,total,4,4,TRUE,,,1,2,3,,,,2,阿拉伯人背弃,ARAB DESERTION,(只有在【阿拉伯起义】后且联合战争状态大于29时才能打出。不能在1917年冬季前打出)。阿拉伯人背弃奥斯曼帝国。在接下来的游戏时间内:土耳其-阿拉伯部队无法接受补员，不能进行土耳其-阿拉伯LCU的组合。任何包含有土耳其-阿拉伯部队的同盟国地区战斗-1drm
47,ap,total,4,4,TRUE,,,1,2,3,,,,2,印度增援,INDIAN REINFORCEMENTS,增援:印度第3军团。增援:1个精锐步兵师，1个骑兵师
48,ap,total,4,4,TRUE,,,1,2,3,,,,2,土耳其厌战,TURKISH WAR WEARINESS,(只能在联合战争状态大于27时打出。不能在1917年冬季前打出)。在接下来的游戏时间里，每回合土耳其补员点数-2。如果在补员阶段土耳其补员点数因此效果小于0，则必须把地图上或者预备军格的土耳其/土耳其-阿拉伯单位翻至减损面或者消灭。。剩余的游戏时间内，土耳其/土耳其-阿拉伯的**精锐部队(蓝色图标)**和骑兵部队再也无法接受补员。
49,ap,total,4,4,TRUE,TRUE,,1,2,3,,,,2,集群骑兵冲锋,MASSED CAVALRY CHARGE CC,一次由包含澳新沙漠军团的堆叠发起的攻击获得+1drm并取消所有战壕效果**(和沙漠地形效果(LCU沙漠限制效果除外)*这是可选规则的一部分，双方玩家需要在游戏开始前决定是否采用澳新沙漠军团可选规则【该规则较大地加强了澳新沙漠军团】)**。若协约国赢得这场战斗，则所有参与战斗的满员骑兵单位可以挺进最多3格。
50,ap,total,4,4,TRUE,TRUE,,1,2,3,,,,2,竭尽全力,PUSH TO THE BREAKING POINT CC,(只能在【艾伦比】后打出)。在一次攻击胜利后，参与本次战斗的满员的英国/印度/澳新部队(可以在挺进后)可以立即被再度启动来进行一次额外的攻击。
51,ap,total,4,4,TRUE,TRUE,,1,2,3,,,,2,背包计谋,HAVERSACK RUSE CC,(只能在【艾伦比】后打出)。一次包含了英国LCU的攻击中，协约国部队可以首先开火并取消所有地形效果。
52,ap,total,4,4,TRUE,TRUE,,1,2,3,,,,2,前后佯动,MARCH AND COUNTERMARCH CC,(只能在【艾伦比】后打出)。一个没有在本次行动轮中被启动的英国单位(SCU、LCU或者HQ)可以立即被启动并移动穿过1-2个协约国控制地区加入本次战斗(需要满足堆叠限制)。本次战斗获得+1drm。
53,ap,total,5,5,TRUE,,1,2,2,4,,,,3,德斯佩雷,D'ESPEREY,(只能在【劳合乔治接管指挥权】后打出)。增援:法国东方集团军-2 至预备军格。增援:2个法国步兵师，HQ:德斯佩雷。在剩余的游戏时间中，解除协约国在巴尔干地区的攻击限制。
54,ap,total,5,5,TRUE,,2,2,2,4,,,,3,艾伦比,ALLENBY,(只有在【劳合乔治接管指挥权】后才能打出)。增援:英国第20军团、英国第21军团 至 预备军格。增援:2个英国步兵师，1个澳新骑兵师，1个英国骑兵师，HQ:艾伦比。增援:北阿拉伯军 至协约国控制的亚喀巴 或者 被摧毁栏。。如果地图上或者预备军格存在英国精锐步兵师，则将其中一个移除游戏(派往西线)。在剩余的游戏时间内协约国MO掷骰+1drm
55,ap,total,5,5,TRUE,,2,2,2,4,,,,3,劳合乔治接管指挥权,LLOYD GEORGE TAKES COMMAND,(不能在1916年秋季回合前打出，除非联合战争状态不小于26)。增援:澳新沙漠军团 至预备军格。增援:1个英国步兵师，1个英国骑兵师。在剩余的游戏时间中，每回合获得额外1点英国补员点数，在剩余的游戏时间内协约国MO掷骰+2drm
56,cp,mobilization,4,4,TRUE,,2,,,,1,2,3,,圣战,JIHAD,(不能在同盟国战争状态达到8之后打出)。圣战等级+3，获得2点土耳其补员点数
57,cp,mobilization,2,2,TRUE,,,,,,,,1,,新兵征募,FRESH RECRUITS,同盟国玩家获得2点土耳其补员点数，来立即进行土耳其部队的补员。
58,cp,mobilization,2,2,TRUE,,,,,,,,1,,恩维尔坐镇君士坦丁堡,ENVER TO CONSTANTINOPLE,(只能在当前MO为“恩维尔亲临前线”时打出)。取消本回合的**一次**“恩维尔亲临前线”规定的的恩维尔攻势(没有VP惩罚)**(意味着还有一次规定的恩维尔攻势依然必须完成)**，从协约国玩家手中选择三张手牌观看并归还。
59,cp,mobilization,2,2,TRUE,TRUE,,,,,,,1,,前线预备役,RESERVES TO THE FRONT CC,(在战斗结束后打出)。同盟国玩家立即获得2点奖励的土耳其补员点数来对本次战斗中受损的土耳其部队补员(包括在原地重建本次战斗中被摧毁的部队)。受到影响的单位必须停留在原地无法挺进。。该效果可以无视某些单位的无法重建、补员限制进行补员。**(意味着可以对带有圆点标记的、带有三角标记的部队进行补员和原地重建)**
60,cp,mobilization,2,2,,TRUE,,,,,,,1,,德国最高司令部,GERMAN HIGH COMMAND CC,一次同盟国部队攻击/防御+1drm。
61,cp,mobilization,2,2,,TRUE,,,,,,,1,,沙尘暴和疟蚊,SANDSTORMS &amp; MOSQUITOES CC,一回合只能有一次，取消一次从沙漠/沼泽地区发起 或 向沙漠/沼泽地区进行的协约国攻击。
62,cp,mobilization,3,4,TRUE,,1,,,,,1,2,,戈本号,GOEBEN,立即减少2点俄国补员点数(不能被取消)。炮击巴统，掷一次骰子，结果为奇数时，摧毁巴统的要塞。
63,cp,mobilization,3,4,TRUE,,1,,,,,1,2,,德国军事顾问,GERMAN MILITARY MISSION,获得1点土耳其补员点数。。在任何安纳托利亚地区或者加里波利地图内的地区放置4处1级战壕
64,cp,mobilization,3,4,,,,,,,,1,2,,议会质询,PARLIAMENTARY INQUIRY,(只有在有英国/印度的LCU存在于摧毁格栏，或者被永久移除(包括从滩头撤退)时打出**注:若协约国方只有通过调离战线被永久移除的LCU，则不能满足发动条件**)。(不能在【劳合乔治接管指挥权】后打出)。在本回合剩余的时间内，协约国不能再记录英国补员点数。任何包括英国或者印度军队的堆叠需要耗费额外1点OP启动。
65,cp,mobilization,3,4,TRUE,,,,,,,1,2,,波斯攻势,PERSIAN PUSH,增援:1个土耳其-阿拉伯步兵师 至任何同盟国控制的美索不达米亚地区。。可以立即启动一处高加索、阿赛拜疆或美索不达米亚的部队进行移动。。从现在开始到游戏结束，双方玩家的部队都可以进入中立的波斯地区。
66,cp,mobilization,3,4,TRUE,TRUE,,,,,,1,2,,回援第比利斯,SAVE TIFLIS CC,(只能在土耳其LCU攻击俄国LCU的战斗撤退选择阶段时打出。不能在【尼古拉大公抵达第比利斯】后打出)。协约国玩家需要把**所有**阿塞拜疆、波斯和土耳其的俄国单位向第比利斯方向撤退一格。俄国位于完好要塞内的部队、有尤德尼奇HQ驻扎的部队可以免受影响。。如果不能进行合法撤退或者无法让这些部队向第比利斯方向撤退，满员的土耳其/土耳其-阿拉伯部队可以照常挺进。
67,cp,mobilization,4,4,TRUE,,,,,,1,2,3,,解放苏伊士,LIBERATE SUEZ,(黄色事件)。(只有在圣战等级不小于1时才能打出)。当作事件打出时，正常使用此牌记录的OP点数，其中至少2OP必须用于在埃及地区对协约国的战斗，这些战斗获得+1drm修正。。获得1点土耳其补员点数。圣战等级+1。允许在【泛突厥主义】后在埃及进行圣战叛乱。
68,cp,mobilization,4,4,TRUE,,2,,,,1,2,3,,泛突厥主义,PAN-TURKISM,(黄色事件)。当作事件打出时，正常使用此牌记录的OP点数。。增援:2个土耳其精锐步兵师，1个土耳其骑兵师。获得1点土耳其补员点数。圣战等级+1。允许实施圣战叛乱。。允许协约国打出【亚美尼亚起义】
69,cp,mobilization,4,4,TRUE,,,,,,1,2,3,,印度哗变,INDIAN MUTINY,(只有在圣战等级不小于9时才能打出)。(黄色事件)。当作事件打出时，正常使用此牌记录的OP点数。本轮任何土耳其对印度部队的攻击+1drm。。+1圣战等级。允许在【泛突厥主义】后在印度进行圣战叛乱。
70,cp,limited,2,2,TRUE,,,,,,,,1,,杰马勒粉碎秘密社团,DJEMEAL CRUSHES SECRET SOCIETIES,(黄色事件)。当作事件打出时，正常使用此牌记录的OP点数。本回合剩余时间协约国手牌需要持续公开。。+1圣战等级
71,cp,limited,2,2,,,,,,,,,1,,康斯坦丁国王,KING CONSTANTINE,如果在协约国打出【希腊】后的一个行动轮打出，则将其效果无效并置入弃牌堆。。如果在有同盟国单位位于拉里萨地区，并且(或者)所有希腊以外的巴尔干VP点均被同盟国控制或仍被中立国控制时打出，则希腊加入同盟国，+1VP(获得中立VP点雅典的VP)**(注:按照前者规则(取消【希腊】事件)打出时若满足了后者的条件，则也可以适用后者的效果(希腊加入同盟国)；即使未进入游戏，塞尔维亚也不算作中立国)**。此后禁止协约国把【希腊】当作事件打出。(除非为了单纯提升战争状态)
72,cp,limited,2,2,TRUE,,,,,,,,1,,鲁贝尔堡的背叛,TREACHERY AT FORT RUPEL,(只有在希腊仍保持中立，协约国部队占据萨洛尼卡时才能打出)。所有希腊部队(希腊国防军除外)移动至拉米亚或者雅典(协约国玩家选择)，所有与多里安相邻的同盟国部队向前挺进一格，清除挺进位置的战壕并破坏要塞。打出该卡不会侵犯希腊的中立。
73,cp,limited,2,2,TRUE,,,,,,,,1,,土耳其增援,TURKISH REINFORCEMENTS,增援:4个土耳其-阿拉伯精锐步兵师。。如果在【阿拉伯起义】后打出，则这些部队以受损面进入。
74,cp,limited,2,2,TRUE,TRUE,,,,,,,1,,惊喜,SURPRISE CC,(只能在防守部队位于美索不达米亚、叙利亚/巴勒斯坦或者西奈时才能打出)。(不能在【皇家空军】后打出)。同盟国可以立即将1-2个土耳其/土耳其-阿拉伯师的战略调整至防守地区。这次行动不被计入战略调整。**(意味着下一个行动轮同盟国玩家还可以选择进行战略调整行动)**
75,cp,limited,2,2,,TRUE,,,,,,,1,,贾法尔帕夏,JAFAR PASHA CC,允许防守方选择。A:在战斗发生前后撤一格。B:在第一次掷骰结果发生后，重新进行一次掷骰。。在战斗发生后，进行一次掷骰，结果为1-3时，将其交予协约国方保持正面朝上，使其可以选择在一次战斗中当作CC使用。以此方法使用后该卡移除游戏。结果为4-6时，丢入弃牌堆。
76,cp,limited,2,2,,TRUE,,,,,,,1,,飞行分队,FLIEGERABTEILUNG CC,(不能在协约国打出【皇家空军】后打出)。一次同盟国攻击/防御+1drm。
77,cp,limited,3,4,TRUE,,1,,,,,1,2,,地中海潜艇猎袭,GERMAN SUBS IN THE MED,阻止本回合任何至只通过东地中海、爱琴海计算补给线的地区协约国单位增援和战略调整。。(包括任何通过**利姆诺斯岛屿基地**、**塞浦路斯岛屿基地**计算补给线，亦或者从**爱琴海、地中海沿岸港口和滩头**计算补给线的地区。。本回合阻止的除了至上述地区的增援事件牌以外，还包括至上述地区的增援事件以外的单位增援，如【默里接管指挥权】、【塞尔维亚人重返】、【盟军团结】等。但是需要注意的是，至上述地区的**入侵事件仍然可以照常发生，入侵事件附带的海上SR也可以正常运作**)。在剩余的游戏时间里，**当雅典不被协约国控制的场合**，协约国任何仅通过东地中海、爱琴海计算补给线的部队启动花费+1，战略调整花费+1**(这里指仅通过利姆诺斯、塞浦路斯岛屿基地和爱琴海、东地中海沿岸港口/滩头计算补给线的部队)**
78,cp,limited,3,4,TRUE,,1,,,,,1,2,,德国的波斯密谋,GERMAN INTRIGUES IN PERSIA,(只有在同盟国控制巴格达时才能打出)。+1圣战等级。在任何不被占据的或者同盟国占据的中立波斯地区放置波斯起义军。在中立波斯的任意三个地区(可以包括VP点)放置波斯起义标记。
79,cp,limited,3,4,TRUE,,,,,,,1,2,,阿富汗使团,MISSION TO AFGHANISTAN,(只能在圣战等级不小于4时打出)。+1圣战等级。允许在【泛突厥主义】打出后在阿富汗地区和中亚地区发动圣战叛乱。
